order_id,customer_id,order_date,product_id,quantity,total_amount,returned
1,230,2022-07-29,51,5,182.5802955073715,0
2,846,2022-12-02,56,1,66.52845022863711,0
3,115,2022-09-20,25,4,769.3295733278558,0
4,411,2022-08-26,9,5,494.88410400426517,1
5,801,2022-05-27,65,5,990.9798205004564,0
6,199,2022-08-01,13,5,932.7892295648307,0
7,50,2022-07-26,89,2,323.2231997205889,0
8,974,2022-12-09,92,4,293.4531032627133,0
9,97,2022-06-22,6,3,288.12136263878,0
10,215,2022-07-15,34,2,285.0073115574422,1
11,145,2022-04-16,9,5,422.0166189751464,0
12,917,2022-12-23,15,1,126.24353260931954,0
13,472,2022-04-30,86,3,277.2597647318478,0
14,54,2022-09-04,39,5,865.6170808382135,0
15,614,2022-12-06,45,3,413.4352541979839,1
16,987,2022-12-09,45,3,480.00769220620066,1
17,832,2022-05-14,91,2,196.43317345503715,0
18,887,2022-11-28,63,1,151.07971575450853,0
19,211,2022-08-20,2,4,728.061349521279,0
20,717,2022-09-20,19,3,240.49223513604835,1
21,336,2022-06-24,100,4,373.0582638809829,1
22,841,2022-08-13,17,5,613.5398946814989,0
23,796,2022-08-02,39,3,369.57146962582317,0
24,676,2022-09-14,89,3,224.27492944725736,0
25,515,2023-02-27,39,5,572.9030516551727,0
26,864,2022-06-17,61,3,157.3546849019429,0
27,198,2022-10-03,67,2,295.1265240782971,0
28,46,2022-07-14,95,1,154.30185829475204,1
29,113,2022-07-17,30,1,177.7141887432383,0
30,326,2022-07-21,54,2,370.70374029534344,0
31,442,2022-12-05,68,5,684.2549540745812,0
32,206,2023-01-29,80,1,41.906511453562544,0
33,101,2023-01-02,98,4,394.8207697091599,1
34,573,2022-09-09,26,4,278.39859287061165,0
35,998,2023-02-13,8,1,109.16494199584886,0
36,245,2022-06-15,7,4,318.11839119959274,0
37,103,2022-04-26,42,5,823.4492955294583,0
38,156,2022-03-31,62,2,345.2204481345756,1
39,840,2022-11-03,25,2,58.36620567901016,0
40,337,2022-10-22,5,4,399.9467658121081,1
41,472,2022-12-02,25,4,369.6796863091304,0
42,657,2022-12-02,55,2,389.41756086035514,0
43,242,2023-01-14,97,1,52.527439983965586,0
44,594,2023-01-06,70,5,577.3926178825103,0
45,2,2022-12-13,9,3,470.72933918393767,0
46,981,2022-06-10,82,3,187.2851524566995,1
47,145,2022-06-12,38,2,168.80664759005856,0
48,517,2023-01-01,75,4,163.81300958835482,0
49,448,2023-02-28,14,1,90.6884721317534,0
50,181,2022-06-04,82,1,67.69283621658582,0
51,647,2022-10-03,72,2,89.79961022121462,0
52,262,2022-08-06,48,5,143.94983990730344,0
53,971,2022-07-26,35,4,110.37784718455775,0
54,985,2022-12-16,5,5,675.3282185600826,0
55,123,2022-06-11,46,5,651.515801719943,0
56,314,2022-07-23,82,3,182.18704171484188,0
57,98,2022-07-04,19,5,825.7996457242167,0
58,98,2022-04-24,83,4,660.6397165793734,0
59,143,2022-10-06,76,3,267.0150040508962,0
60,303,2022-07-09,71,3,264.8242376767339,0
61,230,2022-11-08,35,4,146.0642364058972,0
62,503,2022-10-27,73,4,189.05420019170333,0
63,26,2023-01-09,84,4,508.42562578551156,0
64,342,2022-08-08,77,4,202.41462622964139,0
65,53,2022-05-26,44,5,444.43775744052516,0
66,146,2022-03-26,33,1,69.38796090203854,0
67,420,2023-02-14,35,4,514.6961988125432,0
68,478,2023-02-14,86,1,36.172011256586956,0
69,675,2023-03-02,61,2,148.93193244644647,0
70,666,2023-02-02,28,4,470.9553738892323,0
71,657,2022-03-15,73,5,973.5439021508878,0
72,16,2022-03-23,59,4,555.3795384478703,0
73,544,2022-06-16,31,2,84.13419982899923,0
74,162,2022-04-27,18,2,83.51137356384814,0
75,293,2022-12-12,29,1,59.41159337593127,0
76,134,2022-08-16,68,2,341.47645274602894,0
77,624,2022-08-14,81,3,250.77542180489252,1
78,881,2022-07-14,63,5,869.8052915497603,1
79,78,2023-01-07,45,1,84.03893342497251,0
80,299,2022-04-03,87,2,210.69096202876418,0
81,667,2022-11-11,35,5,263.5032106685622,0
82,682,2022-12-28,26,5,613.3395789660048,0
83,499,2022-09-14,25,3,144.03599771986018,0
84,342,2022-12-06,83,4,202.41462622964139,0
85,263,2023-02-02,93,2,183.36086972560287,0
86,199,2022-04-30,54,2,373.1156918259323,0
87,927,2022-12-12,79,1,128.9928841273346,0
88,272,2023-01-01,30,4,662.9996392936093,1
89,173,2022-11-21,62,5,169.76702877399703,0
90,217,2022-12-21,91,3,473.3948558395287,0
91,859,2022-03-20,28,1,81.12502552054694,0
92,23,2022-05-15,45,5,852.3125084051811,0
93,537,2022-07-15,22,3,424.74690091656475,0
94,356,2022-03-15,39,3,499.17743405058144,0
95,18,2022-06-06,53,5,934.8620433620118,0
96,694,2022-03-18,42,1,126.2403991932163,0
97,833,2023-03-11,88,2,251.1032549101831,0
98,63,2023-03-11,99,1,43.3283444576586,0
99,923,2022-11-05,12,5,493.7435275624439,0
100,374,2022-05-30,24,4,554.6722493699599,0
101,981,2022-07-23,41,3,187.2851524566995,1
102,756,2022-12-11,32,2,151.98866603585503,0
103,990,2022-04-12,66,1,74.56340348748131,0
104,92,2022-08-01,3,2,280.90143423723663,1
105,977,2022-12-05,32,3,225.67739754029338,0
106,445,2023-02-13,52,5,719.6397602814288,1
